descripcion	canntidad	valor	fecha							
ACEITE GIRASOL   	1	14600	13/04/2025							
MAIZENA FECULA   	1	3650	13/04/2025							
MARGARINA CAMP   	1	3600	13/04/2025							
ARROZ DIANA PR   	1	3000	13/04/2025							
GALLETA DANESA   	1	2200	13/04/2025							
ROSQUITAS CRON   	1	2000	13/04/2025							
AJO CHAPETA EL   	1	1300	13/04/2025							
AVENA QUAKER X   	1	2100	13/04/2025							
CANELA EN ASTI   	1	3300	13/04/2025							
CHOCLITOS LIMO   	1	1600	13/04/2025							
AZUCAR MANUELI   	1	2600	13/04/2025							
HARINA PAN BLA   	1	2350	13/04/2025							
PANELA PASTILL   	1	2750	13/04/2025							
MORENITAS NEST   	1	1250	13/04/2025							
GELATINA FRUTI   	1	4950	13/04/2025							
HUEVO X 15 UND   	1	8400	13/04/2025							
BOLSA PARA EMP   	2	300	13/04/2025							
ESPONJA ORO PL   	1	1600	13/04/2025							
HARINA DE TRIG   	1	3400	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
CAFE SELLO ROJ   	1	8400	13/04/2025							
CHOCOLATINA JU   	1	1100	13/04/2025							
QUATRO 1.5       	1	4500	13/04/2025							
PA?ITOS HUMEDO   	1	5250	13/04/2025							
GASEOSA POSTOB   	1	12450	13/04/2025							
COCA COLA + QU   	1	14950	13/04/2025							
AGUA CRISTAL 1   	1	1800	13/04/2025							
PALETA ALOHA M   	1	2300	13/04/2025							
AGUA BRISA PET   	1	1500	13/04/2025							
PALO LOCO        	1	3000	13/04/2025							
SALCHICHA TRAD   	1	3700	13/04/2025							
SALCHICHA TRAD   	1	3700	13/04/2025							
MACARRON CORTO   	1	2300	13/04/2025							
GATORADE MANDA   	1	3750	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
POLET BAILEYS    	1	6200	13/04/2025							
COLOR EL REY C   	1	1200	13/04/2025							
BON YURT ALPIN   	1	3900	13/04/2025							
SALCHICHA LLAN   	1	18200	13/04/2025							
HELADO ARTESAN   	1	2900	13/04/2025							
AGUILA LATA 35   	1	17900	13/04/2025							
AGUA H2OH 1.5    	1	4000	13/04/2025							
PAN HAMBURGUES   	1	3800	13/04/2025							
CANELA EN ASTI   	1	3300	13/04/2025							
NECTAR CALIFOR   	1	2700	13/04/2025							
NECTAR CALIFOR   	1	2500	13/04/2025							
PONQUE RAMO TR   	1	5700	13/04/2025							
ACHIRAS COLACI   	1	2300	13/04/2025							
TOSTACOS PICAN   	1	1800	13/04/2025							
BBB              	1	600	13/04/2025							
BBB              	1	600	13/04/2025							
CHOCOLATINA KI   	1	1500	13/04/2025							
CHOCOLATINA KI   	1	1500	13/04/2025							
AGUA CRISTAL 6   	1	3800	13/04/2025							
MARLBORO PAQUE   	1	11900	13/04/2025							
HUEVO KINDER J   	1	6600	13/04/2025							
UVAS ITALO CON   	1	3650	13/04/2025							
CHOCOLATINA SN   	1	4900	13/04/2025							
CAFE SELLO ROJ   	1	8400	13/04/2025							
PANELA TOTUMAL   	1	2300	13/04/2025							
PANELA TOTUMAL   	1	2300	13/04/2025							
GANSITO  MINI    	1	11150	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
SPARKIES LINEA   	1	200	13/04/2025							
ARROZ DIANA LI   	3	2350	13/04/2025							
HUEVO X 15 UND   	1	8400	13/04/2025							
CHEESETRIS FAM   	1	3000	13/04/2025							
GATSY POLLO/CA   	1	6750	13/04/2025							
Q-IDA CAT X 50   	1	5450	13/04/2025							
CHOCOLATINA KI   	1	4700	13/04/2025							
CHOCOLATINA KI   	1	4700	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
CHOCOLATINA KI   	1	4700	13/04/2025							
CHOCOLATINA KI   	1	6200	13/04/2025							
TODO RICO NATU   	1	2800	13/04/2025							
RANCHERA 5 PAC   	1	5900	13/04/2025							
PANELITA DE LE   	1	1000	13/04/2025							
HUEVO A BOLSA    	1	2450	13/04/2025							
HUEVO A BOLSA    	1	2450	13/04/2025							
PANCAKES A/JEM   	1	7300	13/04/2025							
HUEVO AA X 30    	1	14750	13/04/2025							
